POS; SEXO; DOR; NOMBRE; CLUB; P_CAT; CATEG; TIEMPO
64;13;56;ALBA ARNANDIS COLOMER;POLITECNICA DE VALENCIA;13;FEM;02:27:39.160
65;14;50;MARTA BERLANGA BANDERA;POLITECNICA DE MADRID;14;FEM;02:29:03.307
66;15;8;RUTH ROCAMORA DOMENECH;ALICANTE;15;FEM;02:30:38.750
67; ;36;ALFONSO CASTILLEJO JURADO;LOYOLA ANDALUCIA;52;MAS;02:34:10.689
68; ;24;ALVARO COLLADO ORDOÑEZ;EUROPEA DE ANDALUCIA;53;MAS;02:35:11.487
69;16;75;ELSA MAR MOLINA ROZUA;SALAMANCA;16;FEM;02:35:52.439
70;17;28;MARIA ESTELRICH SEMPERE;ILLES BALEARS;17;FEM;02:35:53.128
71;18;64;PAULA SEGURA MONTAVA;POLITECNICA DE VALENCIA;18;FEM;02:37:28.764
72; ;30;SERGIO ALEJANDRO LOPEZ CABANILLAS;INTERNACIONAL DE VALENCIA;54;MAS;02:38:17.308
73; ;22;JUAN BAENA PEREZ;CORDOBA;55;MAS;02:42:11.184
74;19;9;CANDELA VEGA ASCASO;ALICANTE;19;FEM;02:43:55.315
75;20;42;CHARLOTTE MESSIAEN .;MIGUEL HERNANDEZ(ELCHE);20;FEM;02:46:31.166
76;21;25;IRENE SANS LENGUAS;EUROPEA DE MADRID;21;FEM;02:47:01.266
77;22;72;ALBA ARROYO PARRA;SALAMANCA;22;FEM;02:47:43.610
78;23;65;DANIELA VAN WIERINGEN MASSANET;POLITECNICA DE VALENCIA;23;FEM;02:49:44.397
79;24;52;NORA CALDERON SANTAMARIA;POLITECNICA DE MADRID;24;FEM;03:03:13.838
80;25;89;MARGUERITE NATHALI HENRY;VALENCIA;25;FEM;03:05:40.214
81;26;93;JOANA PONS CARDONA;VALENCIA;26;FEM;03:18:16.944
82;27;95;IRENE ROMERO CORTES;VALENCIA;27;FEM;03:18:17.664
83;28;38;ANDREA BATUECAS TORES;MIGUEL HERNANDEZ(ELCHE);28;FEM;03:20:43.804
84;29;39;LOLA CUMBA RENAU;MIGUEL HERNANDEZ(ELCHE);29;FEM;03:20:44.634
85;30;99;PRUEBA;TT;30;FEM;03:20:54.634
